,Name,Right arm Fast,Right arm Medium,Left arm Fast,Left arm Medium,Right arm off-spinner,Right arm Legbreak,Left arm Orthodox,Left arm Chinaman,Playing Style Score
31,AN Cook,"[1448, 2047, 39]","[53, 64, 1]","[288, 368, 5]","[39, 37, 1]","[338, 383, 8]","[117, 113, 1]","[162, 208, 5]","[0, 0, 0]",49.57055214723927
32,AN Petersen,"[197, 240, 7]","[112, 104, 2]","[4, 10, 1]","[0, 0, 0]","[25, 31, 1]","[39, 32, 0]","[26, 78, 2]","[0, 0, 0]",45.16129032258064
33,AP Devcich,"[70, 92, 5]","[0, 0, 0]","[6, 15, 1]","[0, 0, 0]","[28, 36, 3]","[23, 25, 0]","[33, 42, 1]","[0, 0, 0]",52.5
34,AR Adams,"[29, 28, 2]","[2, 11, 1]","[13, 9, 0]","[0, 0, 0]","[1, 4, 0]","[15, 13, 0]","[9, 7, 0]","[0, 0, 0]",69.56521739130434
35,AR Berenger,"[64, 120, 5]","[16, 19, 1]","[9, 15, 0]","[0, 0, 0]","[9, 17, 1]","[1, 3, 0]","[0, 0, 0]","[0, 0, 0]",44.44444444444444
36,AR White,"[49, 59, 2]","[11, 17, 1]","[2, 6, 0]","[0, 0, 0]","[55, 84, 2]","[9, 22, 2]","[18, 54, 3]","[0, 0, 0]",30.555555555555557
37,Asad Shafiq,"[481, 731, 19]","[91, 126, 3]","[88, 196, 9]","[0, 0, 0]","[212, 297, 8]","[46, 61, 2]","[76, 114, 5]","[0, 0, 0]",34.40643863179074
38,Asghar Stanikzai,"[629, 851, 24]","[63, 110, 8]","[94, 138, 4]","[0, 0, 0]","[322, 534, 14]","[151, 211, 8]","[321, 479, 8]","[0, 1, 1]",44.050632911392405
39,Asif Ali,"[214, 145, 6]","[9, 10, 2]","[31, 36, 2]","[0, 0, 0]","[48, 54, 2]","[31, 19, 2]","[5, 5, 0]","[20, 27, 0]",56.424581005586596
40,AT Carey,"[626, 838, 15]","[69, 77, 0]","[155, 169, 4]","[0, 0, 0]","[155, 150, 2]","[237, 214, 8]","[94, 127, 4]","[90, 80, 5]",40.813464235624124
41,AT Rayudu,"[636, 794, 18]","[211, 289, 1]","[39, 61, 0]","[0, 0, 0]","[237, 308, 6]","[160, 197, 1]","[137, 172, 3]","[0, 0, 0]",45.49295774647887
42,Azhar Ali,"[911, 1266, 24]","[82, 96, 1]","[145, 244, 5]","[0, 0, 0]","[119, 149, 2]","[111, 127, 2]","[137, 181, 5]","[0, 0, 0]",43.32225913621263
43,B Bhandari,"[46, 76, 1]","[8, 18, 0]","[10, 20, 0]","[0, 0, 0]","[12, 21, 1]","[6, 9, 0]","[46, 76, 3]","[0, 0, 0]",39.0625
44,B Sharki,"[0, 0, 0]","[4, 6, 0]","[0, 0, 0]","[0, 0, 0]","[1, 4, 0]","[9, 3, 1]","[0, 0, 0]","[0, 0, 0]",42.857142857142854
45,BA King,"[94, 150, 3]","[34, 26, 1]","[11, 25, 1]","[0, 0, 0]","[50, 96, 4]","[20, 29, 4]","[34, 42, 4]","[0, 0, 0]",50.20576131687243
46,BA Stokes,"[1146, 1242, 31]","[125, 163, 0]","[343, 376, 14]","[0, 0, 0]","[405, 470, 10]","[239, 224, 5]","[316, 297, 6]","[47, 59, 1]",50.667684090041966
47,Babar Azam,"[1649, 1984, 34]","[369, 372, 7]","[361, 393, 6]","[0, 0, 0]","[442, 562, 6]","[545, 606, 5]","[365, 450, 2]","[56, 70, 2]",42.30261420649591
48,Basil Hameed,"[91, 131, 4]","[16, 28, 1]","[0, 0, 0]","[13, 13, 0]","[29, 52, 3]","[4, 19, 1]","[150, 164, 3]","[0, 0, 0]",44.884488448844884
