,Name,Team,Position,Batting,Bowling
350,Naveen-ul-Haq,Afghanistan,Bowler,Right Handed Bat,Right-arm fast-medium
351,Taijul Islam,Bangladesh,Bowler,Left Handed Bat,Left-arm orthodox
352,Nawroz Mangal,Afghanistan,Batsman,Right Handed Bat,Right-arm offbreak
353,L Winfield,England,WK-Batsman,Right Handed Bat,null
354,TT Beaumont,England,WK-Batsman,Right Handed Bat,null
355,DN Wyatt,England,Batsman,Right Handed Bat,Right-arm offbreak
356,NR Sciver,England,Bowling Allrounder,Right Handed Bat,Right-arm medium
357,FC Wilson,England,Batsman,Right Handed Bat,Right-arm offbreak
358,AE Jones,England,WK-Batsman,Right Handed Bat,null
359,GA Elwiss,England,Bowling Allrounder,Right Handed Bat,Right-arm fast-medium
360,A Hartley,England,Bowler,Right Handed Bat,Left-arm orthodox
361,D Hazell,England,Bowler,Right Handed Bat,Right-arm offbreak
362,LA Marsh,England,--,Right Handed Bat,null
363,BA Langston,England,Bowler,Right Handed Bat,Right-arm medium
364,OU Ranasinghe,Sri Lanka,Bowling Allrounder,Left Handed Bat,Right-arm fast-medium
365,SS Weerakkody,Sri Lanka,WK-Batsman,Left Handed Bat,null
366,HC Knight,England,--,Left Handed Bat,Right-arm medium
367,HML Madushani,Sri Lanka,Batsman,Right Handed Bat,Right-arm medium
368,MAA Sanjeewani,Sri Lanka,WK-Batsman,Right Handed Bat,null
369,H Karunaratne,Sri Lanka,Bowler,Right Handed Bat,Right-arm fast-medium
370,NND de Silva,Sri Lanka,Batting Allrounder,Right Handed Bat,Right-arm offbreak
371,WGAKK Kulasuriya,Sri Lanka,Batting Allrounder,Left Handed Bat,Left-arm orthodox
372,GSNFG Jayasuriya,Sri Lanka,Batting Allrounder,Left Handed Bat,Left-arm orthodox
373,SS Pathirana,Sri Lanka,Batting Allrounder,Left Handed Bat,Left-arm orthodox
374,KMDN Kulasekara,Sri Lanka,Bowling Allrounder,Right Handed Bat,Right-arm fast-medium
375,CT Mumba,Zimbabwe,Bowler,Right Handed Bat,Right-arm fast-medium
376,T Panyangara,Zimbabwe,Bowler,Right Handed Bat,Right-arm fast-medium
377,TS Chisoro,Zimbabwe,Bowling Allrounder,Left Handed Bat,Left-arm orthodox
378,CB Mpofu,Zimbabwe,Bowler,Right Handed Bat,Right-arm medium
379,MD Shanaka,Sri Lanka,Batting Allrounder,Right Handed Bat,Right-arm medium
380,JDF Vandersay,Sri Lanka,Bowler,Right Handed Bat,Right-arm legbreak
381,TK Musakanda,Zimbabwe,Batsman,Right Handed Bat,Right-arm fast-medium
382,KH Brunt,England,Bowling Allrounder,Right Handed Bat,Right-arm fast-medium
383,Rohan Mustafa,United Arab Emirates,Batting Allrounder,Left Handed Bat,Right-arm offbreak
384,Mohammed Qasim,United Arab Emirates,Batsman,Right Handed Bat,null
385,Ghulam Shabber,United Arab Emirates,WK-Batsman,Left Handed Bat,null
386,Shaiman Anwar,United Arab Emirates,Batsman,Right Handed Bat,Right-arm fast-medium
387,Rameez Shahzad,United Arab Emirates,Batsman,Right Handed Bat,Right-arm offbreak
