,Name,Team,Position,Batting,Bowling
97,TL Chatara,Zimbabwe,Bowler,Right Handed Bat,Right-arm fast-medium
98,T Muzarabani,Zimbabwe,Bowler,Right Handed Bat,Right-arm fast-medium
99,SC Williams,Zimbabwe,Batting Allrounder,Left Handed Bat,Left-arm orthodox
100,FY Fazal,India,Batsman,Left Handed Bat,Right-arm medium
101,T Maruma,Zimbabwe,Batting Allrounder,Right Handed Bat,Right-arm legbreak
102,MN Waller,Zimbabwe,Batsman,Right Handed Bat,Right-arm offbreak
103,N Madziva,Zimbabwe,Bowler,Right Handed Bat,Right-arm medium
104,T Mupariwa,Zimbabwe,Bowler,Right Handed Bat,Right-arm fast-medium
105,DT Tiripano,Zimbabwe,Bowler,Right Handed Bat,Right-arm fast-medium
106,Tamim Iqbal,Bangladesh,Batsman,Left Handed Bat,null
107,Imrul Kayes,Bangladesh,Batsman,Left Handed Bat,null
108,Soumya Sarkar,Bangladesh,Batsman,Left Handed Bat,Right-arm medium
109,Mahmudullah,Bangladesh,Batting Allrounder,Right Handed Bat,Right-arm offbreak
110,Shakib Al Hasan,Bangladesh,Batting Allrounder,Left Handed Bat,Left-arm orthodox
111,Mushfiqur Rahim,Bangladesh,WK-Batsman,Right Handed Bat,null
112,Sabbir Rahman,Bangladesh,Batsman,Right Handed Bat,Right-arm legbreak
113,Mosaddek Hossain,Bangladesh,Batting Allrounder,Right Handed Bat,Right-arm offbreak
114,Mashrafe Mortaza,Bangladesh,Bowler,Right Handed Bat,Right-arm fast-medium
115,Mustafizur Rahman,Bangladesh,Bowler,Left Handed Bat,Left-arm fast-medium
116,NT Broom,New Zealand,Batsman,Right Handed Bat,Right-arm medium
117,L Ronchi,New Zealand,WK-Batsman,Right Handed Bat,null
118,Tanbir Hayder,Bangladesh,--,Right Handed Bat,Right-arm legbreak
119,Nurul Hasan,Bangladesh,WK-Batsman,Right Handed Bat,null
120,Subashis Roy,Bangladesh,Bowler,Right Handed Bat,Right-arm fast-medium
121,JS Patel,New Zealand,WK-Batsman,Left Handed Bat,null
122,SE Marsh,Australia,Batsman,Left Handed Bat,Left-arm orthodox
123,SD Heazlett,Australia,Batsman,Left Handed Bat,Left-arm orthodox
124,MP Stoinis,Australia,Batting Allrounder,Right Handed Bat,Right-arm medium
125,LRPL Taylor,New Zealand,Batsman,Right Handed Bat,Right-arm offbreak
126,DG Brownlie,New Zealand,Batsman,Right Handed Bat,Right-arm medium
