,Name,Right arm Fast,Right arm Medium,Left arm Fast,Left arm Medium,Right arm off-spinner,Right arm Legbreak,Left arm Orthodox,Left arm Chinaman,Hitting Score,Anchoring Score
19,Abdullah Shafique,"[0, 0, 0]","[0, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
20,Abid Ali,"[114, 100, 1]","[14, 19, 0]","[15, 23, 1]","[0, 0, 0]","[23, 34, 0]","[31, 32, 1]","[16, 24, 1]","[13, 10, 0]",To be calculated,To be calculated
21,AC Gilchrist,"[1667, 1483, 34]","[135, 161, 3]","[309, 356, 10]","[0, 2, 1]","[289, 300, 5]","[14, 19, 1]","[215, 157, 1]","[1, 2, 0]",To be calculated,To be calculated
22,AC Jayangani,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
23,AC Voges,"[252, 277, 6]","[95, 118, 2]","[5, 5, 0]","[0, 0, 0]","[72, 120, 3]","[14, 10, 0]","[72, 79, 1]","[0, 0, 0]",To be calculated,To be calculated
24,AD Hales,"[953, 1104, 36]","[51, 47, 1]","[347, 365, 6]","[0, 0, 0]","[175, 168, 4]","[213, 182, 1]","[84, 86, 1]","[0, 0, 0]",To be calculated,To be calculated
25,AD Mathews,"[1851, 2066, 53]","[150, 162, 4]","[709, 715, 26]","[0, 0, 0]","[753, 983, 10]","[408, 516, 7]","[281, 434, 5]","[82, 114, 2]",To be calculated,To be calculated
26,AD Poynter,"[15, 28, 1]","[6, 4, 1]","[0, 0, 0]","[0, 0, 0]","[2, 7, 0]","[0, 0, 0]","[1, 7, 1]","[0, 0, 0]",To be calculated,To be calculated
27,Adnan Akmal,"[14, 33, 1]","[9, 8, 0]","[0, 0, 0]","[0, 0, 0]","[2, 2, 0]","[0, 0, 0]","[21, 25, 1]","[0, 0, 0]",To be calculated,To be calculated
28,Adnan Mufti,"[118, 151, 4]","[22, 25, 0]","[0, 0, 0]","[4, 2, 0]","[47, 55, 2]","[6, 11, 0]","[60, 77, 2]","[0, 0, 0]",To be calculated,To be calculated
29,ADS Fletcher,"[149, 235, 6]","[3, 7, 0]","[53, 90, 3]","[0, 0, 0]","[10, 14, 0]","[2, 15, 3]","[1, 11, 1]","[0, 0, 0]",To be calculated,To be calculated
30,AE Jones,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
31,AE Satterthwaite,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
32,AE Smith,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
33,Afif Hossain,"[101, 95, 2]","[60, 42, 1]","[73, 62, 0]","[0, 0, 0]","[94, 126, 3]","[27, 42, 0]","[24, 31, 1]","[19, 40, 0]",To be calculated,To be calculated
34,Afsar Zazai,"[53, 114, 7]","[19, 34, 1]","[23, 28, 0]","[0, 0, 0]","[29, 54, 0]","[0, 0, 0]","[20, 44, 1]","[0, 0, 0]",To be calculated,To be calculated
35,Aftab Ahmed,"[384, 470, 25]","[65, 110, 4]","[82, 130, 1]","[0, 0, 0]","[42, 83, 6]","[2, 9, 0]","[50, 67, 3]","[3, 6, 0]",To be calculated,To be calculated
36,AG Puttick,"[0, 5, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
37,Agha Salman,"[27, 32, 0]","[21, 8, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
38,AGR Loudon,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
39,Ahmed Shehzad,"[835, 1248, 22]","[130, 211, 7]","[224, 327, 6]","[0, 0, 0]","[180, 226, 3]","[123, 156, 4]","[158, 232, 6]","[0, 0, 0]",To be calculated,To be calculated
40,AJ Blackwell,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
41,AJ Finch,"[2259, 2840, 53]","[97, 106, 2]","[286, 398, 12]","[0, 0, 0]","[396, 365, 9]","[496, 500, 12]","[179, 204, 6]","[172, 187, 3]",To be calculated,To be calculated
42,AJ Hall,"[74, 86, 10]","[10, 15, 0]","[33, 29, 0]","[0, 0, 0]","[44, 62, 1]","[4, 7, 0]","[8, 16, 1]","[8, 22, 0]",To be calculated,To be calculated
43,AJ Healy,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
44,AJ Ireland,"[8, 23, 2]","[0, 10, 0]","[0, 0, 0]","[0, 0, 0]","[2, 10, 2]","[0, 0, 0]","[1, 15, 1]","[0, 0, 0]",To be calculated,To be calculated
45,AJ Redmond,"[59, 100, 1]","[0, 0, 0]","[30, 65, 1]","[0, 0, 0]","[13, 32, 3]","[0, 0, 0]","[5, 11, 1]","[0, 0, 0]",To be calculated,To be calculated
46,AJ Strauss,"[1786, 2344, 44]","[172, 192, 4]","[353, 437, 7]","[0, 0, 0]","[303, 403, 14]","[47, 46, 1]","[183, 191, 4]","[0, 0, 0]",To be calculated,To be calculated
47,AJ Turner,"[89, 67, 3]","[0, 0, 0]","[7, 7, 0]","[0, 0, 0]","[0, 0, 0]","[27, 36, 1]","[5, 6, 1]","[35, 28, 1]",To be calculated,To be calculated
48,AK Markram,"[425, 500, 10]","[52, 51, 3]","[75, 99, 4]","[0, 0, 0]","[121, 115, 5]","[42, 67, 1]","[93, 110, 4]","[5, 13, 2]",To be calculated,To be calculated
49,AK Perera,"[3, 8, 1]","[0, 0, 0]","[6, 11, 1]","[0, 0, 0]","[1, 3, 0]","[15, 20, 2]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
50,Aliya Riaz,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
51,Alok Kapali,"[86, 136, 5]","[17, 17, 1]","[41, 51, 4]","[0, 0, 0]","[71, 127, 4]","[2, 4, 0]","[55, 85, 2]","[3, 8, 2]",To be calculated,To be calculated
52,AM Bacher,"[18, 78, 2]","[42, 50, 2]","[0, 0, 0]","[0, 0, 0]","[7, 9, 0]","[0, 0, 0]","[6, 4, 0]","[0, 0, 0]",To be calculated,To be calculated
53,AM Blignaut,"[27, 34, 3]","[10, 10, 0]","[14, 7, 0]","[0, 0, 0]","[9, 5, 1]","[0, 0, 0]","[1, 1, 0]","[0, 0, 0]",To be calculated,To be calculated
54,AM Fernando,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 5, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
55,AM McCarthy,"[2, 10, 0]","[2, 8, 0]","[7, 12, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[3, 10, 2]","[0, 0, 0]",To be calculated,To be calculated
56,AM Nayar,"[0, 7, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
57,AM Peterson,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
58,AM Rahane,"[1333, 1784, 49]","[120, 171, 6]","[121, 191, 6]","[0, 0, 0]","[288, 342, 6]","[177, 208, 1]","[120, 168, 1]","[4, 4, 0]",To be calculated,To be calculated
59,Aman Ali,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 2, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
60,Amjad Ali,"[137, 179, 4]","[0, 0, 0]","[32, 61, 1]","[0, 0, 0]","[33, 63, 2]","[0, 1, 1]","[39, 31, 0]","[0, 0, 0]",To be calculated,To be calculated
61,AN Cook,"[1423, 1990, 39]","[54, 66, 2]","[274, 378, 8]","[0, 0, 0]","[290, 374, 7]","[22, 26, 0]","[128, 145, 3]","[0, 0, 0]",To be calculated,To be calculated
62,AN Davidson-Richards,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
63,AN Kelly,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
64,AN Petersen,"[132, 161, 5]","[60, 60, 2]","[4, 10, 1]","[0, 0, 0]","[14, 18, 1]","[39, 32, 0]","[31, 72, 4]","[0, 0, 0]",To be calculated,To be calculated
65,AP Devcich,"[70, 88, 3]","[0, 0, 0]","[32, 53, 2]","[0, 0, 0]","[3, 7, 2]","[6, 4, 0]","[21, 22, 1]","[0, 0, 0]",To be calculated,To be calculated
66,Aqib Ilyas,"[180, 218, 3]","[41, 59, 2]","[13, 26, 1]","[0, 0, 0]","[98, 139, 0]","[76, 62, 1]","[105, 190, 2]","[0, 0, 0]",To be calculated,To be calculated
67,AR Berenger,"[46, 81, 5]","[0, 0, 0]","[9, 18, 0]","[0, 0, 0]","[7, 10, 1]","[1, 3, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
