,Name,Right arm Fast,Right arm Medium,Left arm Fast,Left arm Medium,Right arm off-spinner,Right arm Legbreak,Left arm Orthodox,Left arm Chinaman,Hitting Score,Anchoring Score
133,CM McBride,"[1, 5, 0]","[3, 20, 0]","[4, 8, 1]","[0, 0, 0]","[0, 0, 0]","[8, 10, 1]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
134,CMA Shillington,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
135,CMW Read,"[35, 32, 3]","[0, 0, 0]","[0, 1, 0]","[0, 0, 0]","[9, 22, 2]","[0, 3, 1]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
136,CN Nation,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
137,CNIM Joyce,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
138,CP Jack,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
139,CP Rizwan,"[135, 210, 5]","[73, 114, 4]","[42, 63, 2]","[0, 0, 0]","[69, 119, 2]","[98, 181, 3]","[58, 85, 2]","[0, 0, 0]",To be calculated,To be calculated
140,CR Ervine,"[584, 905, 20]","[148, 147, 2]","[143, 216, 4]","[5, 17, 0]","[425, 586, 19]","[182, 209, 4]","[245, 323, 8]","[33, 26, 1]",To be calculated,To be calculated
141,CS Baugh,"[163, 206, 10]","[26, 23, 0]","[7, 17, 0]","[0, 0, 0]","[65, 110, 4]","[12, 27, 1]","[49, 73, 1]","[3, 5, 0]",To be calculated,To be calculated
142,CS MacLeod,"[548, 762, 24]","[128, 161, 6]","[81, 111, 4]","[0, 0, 0]","[210, 272, 6]","[239, 196, 2]","[190, 222, 6]","[0, 0, 0]",To be calculated,To be calculated
143,CT Dhururu,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
144,D Brown,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
145,D Cleaver,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[8, 10, 1]","[0, 0, 0]","[24, 27, 0]","[0, 0, 0]",To be calculated,To be calculated
146,D Devnarain,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
147,D Elgar,"[29, 72, 5]","[25, 44, 0]","[0, 0, 0]","[0, 0, 0]","[35, 45, 1]","[0, 0, 0]","[12, 17, 0]","[0, 0, 0]",To be calculated,To be calculated
148,D Ganga,"[81, 169, 2]","[25, 51, 3]","[0, 0, 0]","[0, 0, 0]","[3, 8, 0]","[0, 0, 0]","[8, 9, 1]","[0, 0, 0]",To be calculated,To be calculated
149,D Hemalatha,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
150,D Khanal,"[44, 80, 2]","[13, 21, 1]","[11, 23, 0]","[0, 0, 0]","[29, 26, 0]","[40, 58, 3]","[34, 42, 1]","[0, 0, 0]",To be calculated,To be calculated
151,D Lakshan,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[1, 5, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
152,D Mohammed,"[0, 2, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
153,D Mongia,"[56, 114, 2]","[17, 29, 0]","[12, 11, 0]","[0, 0, 0]","[4, 5, 0]","[0, 0, 0]","[13, 24, 1]","[26, 27, 0]",To be calculated,To be calculated
154,D Murphy,"[0, 0, 0]","[3, 9, 0]","[0, 1, 1]","[0, 0, 0]","[4, 10, 0]","[0, 0, 0]","[0, 4, 1]","[0, 0, 0]",To be calculated,To be calculated
155,D Ramdin,"[552, 706, 30]","[107, 100, 3]","[151, 200, 7]","[0, 0, 0]","[215, 276, 3]","[145, 208, 7]","[72, 99, 6]","[14, 19, 1]",To be calculated,To be calculated
156,D van Niekerk,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
157,D Wiese,"[15, 34, 1]","[0, 0, 0]","[11, 21, 1]","[0, 0, 0]","[22, 21, 1]","[30, 24, 1]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
158,DA Gunawardene,"[80, 159, 5]","[4, 11, 0]","[11, 24, 2]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[16, 26, 0]","[0, 0, 0]",To be calculated,To be calculated
159,DA Miller,"[1024, 940, 18]","[200, 200, 3]","[429, 462, 13]","[0, 0, 0]","[551, 639, 14]","[231, 233, 7]","[143, 157, 1]","[56, 71, 2]",To be calculated,To be calculated
160,DA Warner,"[2599, 2679, 62]","[130, 117, 1]","[595, 678, 14]","[0, 0, 0]","[525, 680, 17]","[311, 294, 4]","[224, 253, 2]","[75, 82, 1]",To be calculated,To be calculated
161,DAS Gunaratne,"[170, 180, 8]","[18, 22, 1]","[44, 62, 0]","[0, 0, 0]","[62, 63, 1]","[65, 125, 4]","[53, 83, 2]","[11, 24, 0]",To be calculated,To be calculated
162,DBL Powell,"[44, 57, 6]","[4, 11, 0]","[4, 10, 3]","[0, 0, 0]","[2, 4, 0]","[0, 0, 0]","[2, 10, 3]","[0, 0, 0]",To be calculated,To be calculated
163,DC Thomas,"[74, 78, 5]","[1, 9, 1]","[17, 39, 1]","[0, 0, 0]","[30, 60, 2]","[5, 15, 1]","[14, 38, 2]","[0, 0, 0]",To be calculated,To be calculated
164,DD Ebrahim,"[136, 267, 5]","[28, 45, 2]","[12, 32, 0]","[0, 0, 0]","[28, 43, 0]","[24, 32, 0]","[28, 53, 2]","[1, 4, 1]",To be calculated,To be calculated
165,DDP D'Silva,"[1, 1, 0]","[4, 5, 0]","[5, 17, 3]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[12, 34, 0]","[0, 0, 0]",To be calculated,To be calculated
166,DE Budge,"[59, 67, 3]","[14, 19, 2]","[20, 12, 1]","[0, 0, 0]","[24, 37, 0]","[20, 15, 0]","[4, 6, 0]","[0, 0, 0]",To be calculated,To be calculated
167,DG Brownlie,"[100, 130, 3]","[4, 9, 0]","[80, 104, 1]","[0, 0, 0]","[4, 19, 1]","[25, 35, 2]","[30, 32, 1]","[3, 3, 0]",To be calculated,To be calculated
168,Dhiman Ghosh,"[13, 30, 3]","[18, 14, 1]","[10, 20, 0]","[0, 0, 0]","[11, 20, 0]","[0, 0, 0]","[5, 20, 1]","[0, 0, 0]",To be calculated,To be calculated
169,DI Joyce,"[19, 38, 3]","[0, 0, 0]","[9, 18, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
170,DJ Bravo,"[914, 1094, 40]","[123, 170, 6]","[257, 312, 12]","[0, 0, 0]","[331, 446, 11]","[27, 31, 2]","[138, 181, 3]","[4, 8, 1]",To be calculated,To be calculated
171,DJ Cullen,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
172,DJ Hooda,"[43, 41, 1]","[25, 35, 0]","[0, 0, 0]","[0, 0, 0]","[2, 5, 1]","[0, 0, 0]","[42, 48, 1]","[0, 0, 0]",To be calculated,To be calculated
173,DJ Hussey,"[541, 582, 20]","[59, 70, 1]","[32, 32, 1]","[0, 0, 0]","[165, 188, 10]","[7, 13, 1]","[162, 178, 4]","[0, 0, 0]",To be calculated,To be calculated
174,DJ Malan,"[102, 134, 4]","[0, 0, 0]","[16, 24, 1]","[0, 0, 0]","[7, 4, 0]","[0, 0, 0]","[10, 15, 0]","[1, 1, 0]",To be calculated,To be calculated
175,DJ Mitchell,"[49, 58, 1]","[0, 0, 0]","[34, 22, 0]","[0, 0, 0]","[46, 43, 1]","[0, 0, 0]","[49, 54, 0]","[0, 0, 0]",To be calculated,To be calculated
176,DJG Sammy,"[706, 658, 26]","[27, 25, 1]","[183, 171, 8]","[0, 0, 0]","[185, 260, 8]","[38, 55, 1]","[103, 90, 1]","[0, 0, 0]",To be calculated,To be calculated
177,DJM Short,"[44, 61, 1]","[0, 0, 0]","[0, 4, 0]","[0, 0, 0]","[15, 21, 1]","[10, 16, 1]","[31, 50, 1]","[18, 28, 2]",To be calculated,To be calculated
178,DJS Dottin,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
179,DM Bravo,"[840, 1219, 25]","[85, 85, 0]","[255, 414, 14]","[0, 0, 0]","[330, 596, 13]","[129, 147, 5]","[164, 257, 7]","[46, 67, 0]",To be calculated,To be calculated
180,DM de Silva,"[308, 414, 13]","[34, 32, 1]","[115, 142, 4]","[0, 0, 0]","[102, 129, 2]","[152, 234, 5]","[69, 141, 5]","[90, 111, 1]",To be calculated,To be calculated
181,DM Kimmince,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
182,DN Wyatt,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
183,DP Conway,"[29, 29, 1]","[11, 10, 1]","[52, 41, 1]","[0, 0, 0]","[63, 89, 0]","[0, 0, 0]","[21, 26, 1]","[0, 0, 0]",To be calculated,To be calculated
184,DPMD Jayawardene,"[2540, 3095, 69]","[308, 415, 6]","[717, 1080, 26]","[0, 0, 0]","[768, 977, 20]","[37, 63, 4]","[474, 654, 20]","[127, 170, 3]",To be calculated,To be calculated
185,DR Flynn,"[50, 100, 2]","[5, 5, 0]","[8, 6, 1]","[0, 0, 0]","[44, 62, 4]","[0, 0, 0]","[8, 6, 0]","[0, 0, 0]",To be calculated,To be calculated
186,DR Martyn,"[527, 695, 13]","[40, 44, 1]","[78, 134, 6]","[13, 15, 0]","[112, 202, 3]","[42, 54, 2]","[141, 228, 1]","[0, 0, 0]",To be calculated,To be calculated
187,DR Smith,"[482, 611, 31]","[78, 54, 2]","[80, 95, 1]","[0, 0, 0]","[119, 128, 6]","[83, 95, 4]","[35, 70, 3]","[6, 5, 1]",To be calculated,To be calculated
188,DS Lehmann,"[53, 65, 0]","[50, 60, 0]","[4, 4, 0]","[0, 0, 0]","[27, 32, 1]","[10, 19, 1]","[7, 11, 0]","[0, 0, 0]",To be calculated,To be calculated
189,DS Smith,"[329, 436, 13]","[22, 33, 1]","[138, 194, 5]","[0, 0, 0]","[121, 175, 5]","[5, 13, 2]","[35, 51, 1]","[0, 0, 0]",To be calculated,To be calculated
190,DS Weerakkody,"[15, 18, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[13, 13, 1]","[0, 0, 0]","[16, 15, 0]",To be calculated,To be calculated
191,E Lewis,"[601, 763, 14]","[67, 71, 2]","[88, 157, 6]","[0, 0, 0]","[315, 388, 7]","[87, 84, 4]","[114, 117, 2]","[58, 92, 4]",To be calculated,To be calculated
192,EA Perry,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
193,EC Joyce,"[253, 374, 11]","[28, 37, 0]","[17, 17, 0]","[0, 0, 0]","[20, 32, 1]","[0, 0, 0]","[13, 20, 0]","[0, 0, 0]",To be calculated,To be calculated
194,EHSN Silva,"[4, 6, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
195,EJ Villani,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
196,EJCLRC Rainford-Brent,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
197,EJG Morgan,"[242, 296, 6]","[47, 29, 0]","[31, 32, 3]","[0, 0, 0]","[69, 74, 1]","[8, 11, 0]","[76, 62, 1]","[0, 0, 0]",To be calculated,To be calculated
198,EMDY Munaweera,"[15, 29, 2]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
199,F Behardien,"[399, 375, 10]","[24, 20, 1]","[143, 116, 4]","[0, 0, 0]","[108, 168, 7]","[99, 106, 3]","[16, 22, 1]","[0, 0, 0]",To be calculated,To be calculated
200,F du Plessis,"[1630, 1751, 46]","[230, 239, 6]","[697, 771, 17]","[0, 0, 0]","[683, 847, 8]","[277, 300, 4]","[347, 481, 7]","[134, 155, 1]",To be calculated,To be calculated
201,F Kasteni,"[9, 24, 2]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
202,F Tunnicliffe,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
203,F Walters,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
204,FA Allen,"[96, 84, 5]","[0, 0, 0]","[0, 11, 0]","[0, 0, 0]","[12, 18, 1]","[11, 17, 1]","[12, 12, 2]","[15, 12, 3]",To be calculated,To be calculated
205,Faisal Iqbal,"[13, 21, 2]","[14, 31, 0]","[4, 3, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[8, 11, 0]",To be calculated,To be calculated
206,Fakhar Zaman,"[971, 1136, 19]","[140, 151, 4]","[184, 172, 5]","[0, 0, 0]","[83, 81, 5]","[136, 174, 6]","[185, 178, 2]","[100, 74, 2]",To be calculated,To be calculated
207,Fawad Alam,"[326, 453, 10]","[1, 2, 0]","[41, 67, 1]","[0, 0, 0]","[119, 204, 4]","[13, 22, 0]","[132, 168, 4]","[0, 0, 0]",To be calculated,To be calculated
208,Fayyaz Ahmed,"[19, 43, 0]","[0, 0, 0]","[0, 1, 1]","[0, 0, 0]","[0, 0, 0]","[6, 5, 0]","[6, 10, 0]","[0, 0, 0]",To be calculated,To be calculated
209,Fayyaz Butt,"[28, 36, 2]","[7, 16, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[17, 16, 0]","[1, 5, 1]","[0, 0, 0]",To be calculated,To be calculated
210,FC Wilson,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
211,FDM Karunaratne,"[227, 351, 14]","[8, 10, 1]","[120, 154, 2]","[0, 0, 0]","[67, 74, 0]","[6, 4, 0]","[43, 48, 1]","[0, 0, 0]",To be calculated,To be calculated
212,FH Allen,"[84, 81, 1]","[27, 35, 0]","[20, 12, 1]","[0, 0, 0]","[20, 24, 0]","[0, 0, 0]","[31, 40, 2]","[0, 0, 0]",To be calculated,To be calculated
213,FL Mackay,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
214,FR Davies,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
215,FRJ Coleman,"[76, 102, 2]","[16, 10, 0]","[0, 8, 1]","[0, 0, 0]","[21, 34, 0]","[19, 26, 0]","[3, 8, 0]","[0, 0, 0]",To be calculated,To be calculated
216,FY Fazal,"[28, 33, 0]","[17, 20, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[10, 12, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
217,G Gambhir,"[1800, 2151, 48]","[130, 146, 5]","[434, 579, 15]","[0, 0, 0]","[540, 615, 13]","[15, 21, 0]","[356, 419, 4]","[33, 25, 1]",To be calculated,To be calculated
218,G Malla,"[81, 143, 5]","[39, 73, 1]","[27, 53, 0]","[0, 0, 0]","[36, 55, 1]","[19, 25, 1]","[28, 46, 1]","[0, 0, 0]",To be calculated,To be calculated
219,G Sultana,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
220,GA Manou,"[5, 4, 0]","[0, 0, 0]","[2, 2, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
221,GB Brent,"[61, 86, 4]","[5, 8, 0]","[17, 16, 0]","[0, 0, 0]","[17, 35, 1]","[7, 3, 0]","[16, 47, 3]","[0, 0, 0]",To be calculated,To be calculated
222,GC Smith,"[1878, 2348, 42]","[337, 367, 6]","[460, 711, 18]","[0, 0, 0]","[349, 472, 20]","[40, 53, 1]","[257, 366, 7]","[35, 43, 1]",To be calculated,To be calculated
223,GC Wilson,"[353, 505, 20]","[148, 149, 2]","[21, 42, 3]","[21, 12, 0]","[138, 201, 4]","[154, 275, 9]","[184, 261, 5]","[0, 0, 0]",To be calculated,To be calculated
224,GD Drummond,"[11, 10, 1]","[0, 0, 0]","[29, 13, 0]","[0, 0, 0]","[0, 0, 0]","[1, 4, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
225,GD Elliott,"[531, 689, 18]","[33, 20, 1]","[143, 207, 6]","[0, 0, 0]","[228, 278, 2]","[84, 111, 4]","[138, 199, 9]","[0, 0, 0]",To be calculated,To be calculated
226,GD Phillips,"[2, 4, 0]","[18, 14, 1]","[23, 18, 1]","[0, 0, 0]","[27, 39, 1]","[18, 11, 0]","[8, 8, 1]","[0, 0, 0]",To be calculated,To be calculated
227,GF Linde,"[9, 6, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[11, 18, 0]","[0, 0, 0]","[6, 6, 1]","[0, 0, 0]",To be calculated,To be calculated
228,GH Bodi,"[7, 4, 1]","[17, 22, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[11, 16, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
229,GH Lewis,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
230,GH Worker,"[127, 174, 3]","[0, 0, 0]","[26, 44, 3]","[0, 0, 0]","[20, 30, 2]","[10, 11, 0]","[13, 26, 0]","[0, 0, 0]",To be calculated,To be calculated
231,Ghulam Shabber,"[205, 330, 7]","[23, 32, 0]","[0, 3, 0]","[8, 11, 0]","[47, 99, 5]","[26, 32, 2]","[33, 60, 3]","[0, 0, 0]",To be calculated,To be calculated
232,GJ Bailey,"[1041, 1210, 31]","[169, 194, 4]","[106, 111, 2]","[0, 0, 0]","[389, 531, 8]","[203, 263, 4]","[235, 291, 8]","[8, 12, 0]",To be calculated,To be calculated
233,GJ Delany,"[57, 56, 2]","[1, 1, 0]","[18, 26, 1]","[0, 0, 0]","[8, 7, 0]","[7, 8, 1]","[2, 4, 1]","[0, 0, 0]",To be calculated,To be calculated
234,GJ Hopkins,"[66, 94, 8]","[0, 0, 0]","[67, 66, 1]","[0, 0, 0]","[28, 42, 2]","[0, 0, 0]","[8, 13, 0]","[0, 3, 1]",To be calculated,To be calculated
235,GJ Maxwell,"[1222, 1021, 42]","[45, 36, 2]","[359, 275, 9]","[0, 0, 0]","[350, 296, 10]","[345, 257, 7]","[105, 91, 2]","[95, 69, 3]",To be calculated,To be calculated
236,GM Harris,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
237,GM Strydom,"[20, 47, 2]","[1, 3, 0]","[0, 0, 0]","[0, 0, 0]","[11, 15, 0]","[0, 0, 0]","[3, 4, 1]","[21, 21, 0]",To be calculated,To be calculated
238,GS Ballance,"[115, 168, 7]","[0, 0, 0]","[14, 23, 1]","[0, 0, 0]","[50, 82, 3]","[0, 0, 0]","[20, 42, 0]","[0, 0, 0]",To be calculated,To be calculated
239,GSNFG Jayasuriya,"[13, 16, 2]","[0, 0, 0]","[35, 45, 1]","[0, 0, 0]","[31, 63, 2]","[8, 15, 0]","[8, 20, 0]","[4, 6, 0]",To be calculated,To be calculated
240,Gurkeerat Singh,"[1, 1, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[4, 5, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
241,H Davids,"[1, 7, 1]","[0, 0, 0]","[4, 6, 0]","[0, 0, 0]","[1, 8, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
242,H Deol,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
243,H Kaur,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
244,H Klaasen,"[240, 292, 6]","[2, 6, 2]","[45, 43, 2]","[0, 0, 0]","[55, 43, 4]","[111, 123, 2]","[89, 82, 1]","[39, 30, 1]",To be calculated,To be calculated
245,H Madavi,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
246,H Masakadza,"[1465, 2145, 61]","[151, 167, 4]","[420, 733, 18]","[9, 25, 1]","[450, 571, 14]","[293, 306, 9]","[451, 633, 13]","[35, 27, 0]",To be calculated,To be calculated
247,Habibul Bashar,"[214, 387, 13]","[55, 90, 5]","[20, 39, 1]","[0, 0, 0]","[52, 126, 1]","[18, 26, 1]","[60, 110, 2]","[53, 84, 2]",To be calculated,To be calculated
248,Haider Ali,"[1, 4, 0]","[0, 0, 0]","[12, 5, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[12, 13, 1]","[0, 0, 0]",To be calculated,To be calculated
249,Hammad Azam,"[34, 54, 1]","[1, 4, 0]","[0, 0, 0]","[0, 0, 0]","[10, 15, 0]","[4, 8, 1]","[7, 14, 1]","[0, 0, 0]",To be calculated,To be calculated
250,Hannan Sarkar,"[32, 70, 2]","[12, 25, 0]","[9, 12, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[16, 18, 1]","[0, 0, 0]",To be calculated,To be calculated
251,Haris Sohail,"[539, 656, 11]","[125, 113, 0]","[99, 98, 4]","[0, 0, 0]","[206, 294, 4]","[121, 145, 1]","[157, 170, 1]","[3, 3, 0]",To be calculated,To be calculated
252,HASD Siriwardene,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
253,Hashmatullah Shahidi,"[419, 663, 15]","[82, 160, 3]","[87, 112, 2]","[15, 34, 0]","[342, 507, 7]","[72, 111, 2]","[120, 185, 2]","[14, 24, 1]",To be calculated,To be calculated
254,Hazratullah,"[197, 190, 9]","[0, 1, 1]","[19, 40, 1]","[0, 0, 0]","[70, 93, 2]","[6, 6, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
255,HD Rutherford,"[14, 53, 3]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
256,HDRL Thirimanne,"[1055, 1475, 28]","[48, 94, 2]","[352, 502, 15]","[0, 0, 0]","[452, 689, 10]","[147, 188, 3]","[118, 161, 4]","[46, 56, 1]",To be calculated,To be calculated
257,HDRS Silva,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
258,HE van der Dussen,"[383, 389, 6]","[27, 34, 1]","[174, 224, 3]","[0, 0, 0]","[302, 337, 4]","[112, 126, 3]","[87, 112, 1]","[21, 25, 0]",To be calculated,To be calculated
259,HE Whelan,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
260,HG Munsey,"[176, 233, 7]","[25, 44, 1]","[42, 43, 1]","[0, 0, 0]","[163, 183, 3]","[64, 118, 2]","[44, 69, 1]","[0, 0, 0]",To be calculated,To be calculated
261,HH Dippenaar,"[432, 665, 10]","[80, 143, 2]","[64, 100, 2]","[0, 0, 0]","[156, 199, 4]","[20, 36, 0]","[19, 26, 0]","[7, 8, 0]",To be calculated,To be calculated
262,HH Gibbs,"[1274, 1482, 42]","[199, 245, 3]","[244, 313, 6]","[0, 0, 0]","[179, 226, 5]","[62, 49, 1]","[214, 280, 3]","[29, 36, 3]",To be calculated,To be calculated
263,HH Pandya,"[504, 518, 17]","[77, 85, 2]","[104, 103, 7]","[0, 0, 0]","[132, 94, 2]","[142, 110, 3]","[8, 10, 1]","[0, 0, 0]",To be calculated,To be calculated
264,HHC Gunaratne,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
265,HIS Mendis,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
266,HJH Marshall,"[194, 311, 13]","[88, 141, 2]","[26, 47, 1]","[0, 0, 0]","[67, 90, 1]","[29, 26, 0]","[68, 66, 0]","[14, 23, 0]",To be calculated,To be calculated
267,HJW Gardiner,"[67, 108, 3]","[20, 38, 1]","[2, 6, 1]","[0, 0, 0]","[0, 0, 0]","[15, 14, 0]","[4, 10, 0]","[0, 0, 0]",To be calculated,To be calculated
